Fecha,Semana,Marca,Formato,Título de pieza,Necesita thumbnail,Pleca thumbnail (IG/TikTok),Plataformas,Quién produce,Quién publica,Status,Link copy,Observaciones
2026-03-23,S1,BÁSICO.FM,Video Alberto,G01 — Tu agencia te enseña el dashboard. ¿En cuánto se convirtió en tu caja?,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Franquicia: No es lo que crees
2026-03-23,S1,LOS DIOSES DEL MARKETING,Video,T1 · Cara a Cara: ¿Vale más la confianza del empleado que la del CEO como cara de una marca?,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Tema 1 V1_LOS_DIOSES
2026-03-23,S1,GENIO.SOY,Teaser,Pieza 02 — ¿Cuándo fue la última vez que alguien te recomendó una canción?,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,Caption: Alguien. No algo. genio.soy
2026-03-24,S1,LOS DIOSES DEL MARKETING,HERO,Ana Paula Elías,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-03-25,S1,BÁSICO.FM,Periodiquito,Por qué el director de marketing dura la mitad que el CEO,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,T3 · Seg. A · 5 slides · Spencer Stuart + Gartner
2026-03-25,S1,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-03-26,S1,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Listo,PENDIENTE,Ya entregado
2026-03-26,S1,LOS DIOSES DEL MARKETING,HERO,Salomón Mervich,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-03-26,S1,GENIO.SOY,Teaser,Pieza 03 — Recomiéndame una canción,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-03-27,S1,BÁSICO.FM,Video Fernanda,G02 — La percepción manda,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Eric produce primero
2026-03-27,S1,LOS DIOSES DEL MARKETING,Periodiquito,Tu audiencia ya decidió que le estás mintiendo,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,Edelman Trust Barometer 2025
2026-03-29,S1,LOS DIOSES DEL MARKETING,Hot Take,El brief más peligroso es el que todos entendieron diferente,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-03-30,S2,BÁSICO.FM,Video Alberto,G02 — IKEA: el recorrido de 1.5 km y el Efecto Gruen,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Franquicia: No es lo que crees
2026-03-30,S2,LOS DIOSES DEL MARKETING,Video,T2 · El Veredicto: Whataburger despidió al empleado que generaba millones de vistas orgánicas gratis,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Tema 2 V1_LOS_DIOSES
2026-03-30,S2,GENIO.SOY,Teaser,Pieza 04 — Hay mexicanos haciendo muy buena música,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-03-31,S2,LOS DIOSES DEL MARKETING,HERO,Juan Pablo Robert,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-01,S2,BÁSICO.FM,Dato Visual,El 95% de las marcas comunica. El 5% se posiciona.,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,Lippincott + Kantar BrandZ
2026-04-01,S2,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-04-02,S2,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Por producir,PENDIENTE,S2 · Clip por seleccionar
2026-04-02,S2,LOS DIOSES DEL MARKETING,HERO,Anette Cuburu,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-02,S2,GENIO.SOY,Teaser,Pieza 05 — La música es mejor cuando la sentimos juntos,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-04-03,S2,BÁSICO.FM,Video Fernanda,G01 — Antes de que hables,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,
